#time   elevator
0       0
0       0
0.0006  0
0.001   0
0.001   0
0.001   0
0.0013  0
0.0016  0
0.0021  0
0.0032  0
0.0055  0
0.0099  0
0.0189  0
0.0368  -0.0011
0.0644  -0.0009
0.0946  -0.0047
0.1279  -0.0052
0.1601  -0.0017
0.191   -0.0015
0.2231  0.0053
0.2531  0.0138
0.2864  0.0262
0.3197  0.0321
0.3437  0.0349
0.3677  0.0326
0.3941  0.0271
0.4222  0.0241
0.4556  0.0193
0.4889  0.0147
0.5222  0.0084
0.5503  0.0112
0.5764  0.0191
0.6026  0.0262
0.6254  0.0332
0.6554  0.0379
0.6888  0.0338
0.721   0.0288
0.7543  0.0202
0.7876  0.0161
0.821   0.0161
0.8543  0.0184
0.8876  0.025
0.9209  0.0325
0.9543  0.0387
0.9816  0.0402
1       0.0387
1       0.0387
1       0.0387
1.0124  0.0366
1.0248  0.0346
1.0495  0.0337
1.0791  0.0306
1.1114  0.0285
1.1448  0.0258
1.1757  0.0283
1.2091  0.0322
1.2424  0.041
1.274   0.0473
1.3073  0.0515
1.3406  0.0564
1.374   0.0525
1.4073  0.0467
1.437   0.0407
1.4703  0.0369
1.5028  0.0375
1.5321  0.0393
1.5566  0.0413
1.5819  0.0418
1.6085  0.0392
1.6377  0.0354
1.671   0.0288
1.6989  0.0227
1.7315  0.0209
1.7649  0.0209
1.7941  0.0258
1.8262  0.0274
1.8595  0.0258
1.8928  0.0241
1.9237  0.0213
1.9502  0.021
1.9793  0.0255
2       0.0274
2       0.0274
2       0.0274
2.0136  0.0301
2.0273  0.0333
2.0545  0.0361
2.0879  0.0367
2.1201  0.0354
2.1498  0.029
2.1832  0.0177
2.2165  0.007
2.2498  0.0016
2.2829  0.0032
2.3118  0.0037
2.3402  0.0129
2.3667  0.0214
2.3933  0.0247
2.4196  0.0273
2.4522  0.0266
2.4818  0.0219
2.5151  0.0169
2.5485  0.0104
2.5785  0.0115
2.6088  0.0173
2.633   0.0241
2.6573  0.0322
2.6787  0.0382
2.712   0.0522
2.7453  0.0587
2.7786  0.0596
2.812   0.0509
2.8453  0.0393
2.8774  0.0326
2.9107  0.0325
2.9401  0.0403
2.9734  0.0484
3.0002  0.0612
3.0279  0.0653
3.0612  0.063
3.0886  0.0584
3.1219  0.0426
3.1527  0.0297
3.1819  0.0187
3.2084  0.0085
3.24    0.0032
3.2734  0.0021
3.3067  0.0016
3.3196  0.0031
3.3325  0.0065
3.3473  0.0039
3.3673  0.0044
3.3912  0.0032
3.4245  0.0032
3.4579  0.0087
3.4894  0.0332
3.5227  0.0979
3.5559  0.174
3.5773  0.1884
3.5987  0.1383
3.6152  0.0311
3.6266  -0.0827
